#,URL Rating (desc),Referring Page URL,Referring Page Title,Internal Links Count,External Links Count,Link URL,Type,TextPre,Link Anchor,TextPost,HTTP Code,DP check,RP check,
138,17,https://www.iii.org/insuranceindustryblog/2011/03/,"March | 2011 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",273,83,https://www.floodsmart.gov/floodsmart/pages/flooding_flood_risks/the_cost_of_flooding.jsp,Dofollow,"to at the NFIP. Details here , including a cool",interactive device,that lets you estimate how expensive flood damage can be.,404,2020-03-08 02:58:49,2020-04-08T13:09:46Z,
138,17,https://www.iii.org/insuranceindustryblog/2011/03/,"March | 2011 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",273,83,https://www.floodsmart.gov/floodsmart/,Dofollow,"Flood Insurance Program, usually referred to at the NFIP. Details",here,", including a cool interactive device that lets you estimate",404,2020-03-07 01:23:46,2020-04-08T13:09:46Z,
138,17,https://www.iii.org/insuranceindustryblog/2011/03/,"March | 2011 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",273,83,https://www.brookings.edu/papers/2008/07_payd_california_bordoffnoel.aspx,Dofollow,will forgo trips to save cash – the Brookings Institution,estimated,savings up to 8 percent in California. That reduces energy,404,2020-02-16 06:52:30,2020-04-08T13:09:46Z,
139,17,https://www.iii.org/insuranceindustryblog/2010/12/,"December | 2010 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",282,68,https://www.usa.gov/Topics/Reference_Shelf/News/blog.shtml,Dofollow,Many government agencies have blogs. The FEMA blog adds to,a growing list,and is likely to become a must-read when it comes,404,2020-04-10 06:05:54,2020-04-04T05:58:45Z,
139,17,https://www.iii.org/insuranceindustryblog/2010/12/,"December | 2010 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",282,68,https://www.whiteandwilliams.com/CM/AttorneyBios/RandyManiloff.asp,Dofollow,,Attorney Randy Maniloff of law firm White and Williams LLP,offers us the 10th anniversary edition of the yearÃ¢â‚¬â„¢s most,404,2020-04-09 03:07:48,2020-04-04T05:58:45Z,
139,17,https://www.iii.org/insuranceindustryblog/2010/12/,"December | 2010 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",282,68,https://www.nera.com/67_7118.htm,Dofollow,The,just-released annual report from NERA Economic Consulting,shows that filings are projected to reach 239 cases by,404,2020-04-04 06:53:32,2020-04-04T05:58:45Z,
139,17,https://www.iii.org/insuranceindustryblog/2010/12/,"December | 2010 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",282,68,https://www.dandodiary.com/2010/12/articles/securities-litigation/nera-releases-yearend-2010-securities-class-action-litigation-study/,Dofollow,Check out,Kevin LaCroixÃ¢â‚¬â„¢s D&O Diary blog,for more analysis of the NERA findings.,404,2020-03-27 01:07:09,2020-04-04T05:58:45Z,
140,17,https://www.iii.org/insuranceindustryblog/2012/09/,"September | 2012 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",280,46,http://www.rvs-monte-carlo.com/welcome?lg=en,Dofollow,gathering in Monte Carlo this past weekend for the sectorÃ¢â‚¬â„¢s,2012 Reinsurance Rendezvous,.,404,2020-04-04 06:00:50,2020-04-05T12:26:13Z,
141,17,https://www.iii.org/insuranceindustryblog/2009/02/,"February | 2009 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",266,47,https://www.allianz.com/en/press/news/business_news/insurance/news_2009-02-17.html,Dofollow,another question you might want to consider is what is,the riskiest movie of 2008,"? According to FiremanÃ¢â‚¬â„¢s Fund Insurance Co , honors in",404,2020-04-08 23:39:47,2020-04-12T12:11:26Z,
141,17,https://www.iii.org/insuranceindustryblog/2009/02/,"February | 2009 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",266,47,https://www.oliverwyman.com/ow/,Dofollow,Risk ManagementÃ¢â‚¬  produced in conjunction with Swiss Re and,Oliver Wyman,"notes that in todayÃ¢â‚¬â„¢s interdependent societies, it can be unclear",404,2020-03-18 01:00:50,2020-04-12T12:11:26Z,
142,17,https://www.iii.org/insuranceindustryblog/category/medical-malpractice/,"Medical Malpractice | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",251,20,https://www.soa.org/news-and-publications/newsroom/press-releases/2010-08-09-med-errors.aspx,Dofollow,Medical errors are extremely costly.,A study recently completed by consultants with Milliman and commissioned by the Society of Actuaries (SOA),estimated that measurable medical errors cost the U.S. economy $19.5,404,2020-04-07 14:49:06,2020-04-10T12:33:47Z,
143,17,https://www.iii.org/insuranceindustryblog/category/highway-safety-2/,"Highway Safety | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",271,44,https://www.iihs.org/news/detail/legalizing-recreational-marijuana-is-linked-to-increased-crashes,Dofollow,Collision claim frequency appears to have increased.Early analysis,suggests,that states with legal marijuana have higher rates of car,404,2020-03-08 21:24:20,2020-04-12T15:40:41Z,
144,17,https://www.iii.org/insuranceindustryblog/category/international/,"International | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",276,53,https://www.poolre.co.uk/recent-events-manchester/,Dofollow,,“Pool Re will work with its Members in resolving any claim arising from the attack as quickly as possible. We will make a further statement as more information becomes available.”,,404,2020-04-12 19:36:18,2020-04-11T18:05:50Z,
144,17,https://www.iii.org/insuranceindustryblog/category/international/,"International | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",276,53,https://www.munichre.com/en/media-relations/publications/press-releases/2014/2014-05-20-press-release/index.html,Dofollow,"to the economic upswing in many industrialized countries, according to",an annual study by Munich Re,.,404,2020-04-02 02:12:22,2020-04-11T18:05:50Z,
144,17,https://www.iii.org/insuranceindustryblog/category/international/,"International | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",276,53,https://www.poolre.co.uk/what-we-do/,Dofollow,Here’s,how the Pool Re scheme works,:,404,2020-03-24 10:24:25,2020-04-11T18:05:50Z,
144,17,https://www.iii.org/insuranceindustryblog/category/international/,"International | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",276,53,https://www.poolre.co.uk/who-we-are/about-pool-re/,Dofollow,UK (including many overseas companies and Lloyd’s syndicates) participate in,Pool Re,.,404,2020-03-19 18:56:16,2020-04-11T18:05:50Z,
145,17,https://www.iii.org/insuranceindustryblog/2007/01/,"January | 2007 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",243,11,http://actasports.com/sows.php,Dofollow,"should be on the Bears or the Colts, go to:",http://actasports.com/sows.php,Ã‚,404,2020-04-11 13:31:40,2020-04-07T21:14:30Z,
146,17,https://www.iii.org/insuranceindustryblog/2016/07/,"July | 2016 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",270,59,https://www.swissre.com/media/news_releases/The_USD_13_trillion_disaster_protection_gap.html,Dofollow,,A 2015 Swiss Re report,estimated the current annual disaster protection gap between insured and,404,2020-04-09 06:52:47,2020-04-07T19:12:01Z,
146,17,https://www.iii.org/insuranceindustryblog/2016/07/,"July | 2016 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",270,59,https://www.munichre.com/us/property-casualty/press-news/press-releases/2016/NatCat/index.html,Dofollow,,"“Property damage from this spring’s thunderstorm season remind us that a roof is a building’s first line of defense against hail and wind events. Proper roof maintenance, roofing materials and installation are all critical to helping reduce these types of losses.”",,404,2020-03-28 18:39:30,2020-04-07T19:12:01Z,
146,17,https://www.iii.org/insuranceindustryblog/2016/07/,"July | 2016 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",270,59,http://www.fire.lacounty.gov/home/home-alt/,Dofollow,"23,688 acres in size and is 10 percent contained. The",Sand Fire,", which began on July 22, quickly grew to more",404,2020-03-19 20:41:24,2020-04-07T19:12:01Z,
146,17,https://www.iii.org/insuranceindustryblog/2016/07/,"July | 2016 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",270,59,https://www.munichre.com/us/property-casualty/knowledge/expertise/apps/fortified-app/index.html,Dofollow,,FORTIFIED HomeTM On the Go,can be downloaded free from the iTunes Store.,404,2020-03-19 02:57:16,2020-04-07T19:12:01Z,
147,17,https://www.iii.org/insuranceindustryblog/2012/01/,"January | 2012 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",286,77,https://munich1000.webex.com/mw0306lb/mywebex/default.do?nomenu=true&siteurl=munich1000&service=6&main_url=https://munich1000.webex.com/ec0605lb/eventcenter/event/eventAction.do?theAction=detail&confViewID=931593776&siteurl=munich1000&&&,Dofollow,Full yearÃ‚ figures should be available in today’s,2011 Natural Catastrophe Year In Review Webinar,", jointly presented by Munich Re and the I.I.I.",Cannot resolve host,2020-04-10 19:10:23,2020-04-03T22:34:11Z,
147,17,https://www.iii.org/insuranceindustryblog/2012/01/,"January | 2012 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",286,77,https://www.zurich.com/main/home/welcome.htm,Dofollow,"Swiss Re , the Wharton Center for Risk Management and",Zurich,", Global Risks 2012 draws on the insights of 469",404,2020-04-06 08:18:29,2020-04-03T22:34:11Z,
147,17,https://www.iii.org/insuranceindustryblog/2012/01/,"January | 2012 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",286,77,https://www.chicago.gov/city/en/depts/mayor/snowportal/chicagoshovels.html,Dofollow,New York Times reports that a new city web site,ChicagoShovels.org,includes among other thingsÃ‚ a snowplow trackerÃ‚ that mapsÃ‚ ChicagoÃ¢â‚¬â„¢s,404,2020-03-05 00:07:36,2020-04-03T22:34:11Z,
148,17,https://www.iii.org/insuranceindustryblog/2014/03/,"March | 2014 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",311,71,https://www.canadianunderwriter.ca/news/no-new-political-risk-coverage-being-written-in-ukraine-marsh/1002958899/,Dofollow,Canadian Underwriterreported on the story,here,.,404,2020-04-15 18:06:11,2020-04-05T05:58:45Z,
148,17,https://www.iii.org/insuranceindustryblog/2014/03/,"March | 2014 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",311,71,https://www.swissre.com/media/news_releases/nr_20140326_sigma_insured_losses_in_2013.html,Dofollow,,"The total economic loss of Cyclone Phailin is estimated to be $4.5 billion, with just a tiny portion covered by insurance. The insurance industry can play a much larger role in helping societies deal with the fallout of disaster events, such as this and Typhoon Haiyan.Ã¢â‚¬ ",,404,2020-04-12 01:54:41,2020-04-05T05:58:45Z,
148,17,https://www.iii.org/insuranceindustryblog/2014/03/,"March | 2014 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",311,71,https://www.soa.org/Research/Research-Projects/Risk-Management/research-emerging-risks-survey-reports.aspx,Dofollow,"the cusp of a changing of the guard, according to",an annual survey released by the Society of Actuaries,.,404,2020-04-10 07:23:43,2020-04-05T05:58:45Z,
149,17,https://www.iii.org/insuranceindustryblog/2008/02/,"February | 2008 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",258,31,https://gcportal.guycarp.com/portal/extranet/popup/insights/reportsPDF/2008/Cat Bond 2 27.pdf?vid=4,Dofollow,"can now be described, according to Guy Carpenter . Its",sixth annual review of the market,"reveals a phenomenal level of transaction activity in 2007, even",404,2020-03-22 18:39:34,2020-04-12T23:05:58Z,
150,17,https://www.iii.org/insuranceindustryblog/2015/11/,"November | 2015 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",284,58,https://www.kroll.com/en-us/intelligence-center/articles/fraud/protect-your-systems-five-cyber-attack-realities,Dofollow,,"It’s easy to become fatigued at the thought of cyber security. With so many things to do and to learn, you can lose sight of the benefits. If the process does become too overwhelming, remember this: Each step your company takes to protect itself makes it that much more difficult for attackers. They will move on to an easier target–one without as much security in place.”",,404,2020-04-17 17:07:35,2020-04-09T16:17:10Z,
